idUsuari;EsHome;edat;antiguetat;servei;EsFamiliar;EsQuotaParcial;accessos_mes;email;mobil
315385;1;21.188.227;2;Soci individual tot el dia Sardenya;0;0;0;xxxxxxx;xxxxxx
363460;0;30.872.005;5;Soci individual tot el dia Sardenya;0;0;1;xxxxxxx;xxxxxx
264760;1;8.235.455;11;Soci familiar Sardenya;1;0;0;xxxxxxx;xxxxxx
404977;1;48.804.928;1;Soci individual migdia Sardenya;0;1;1;xxxxxxx;xxxxxx
405724;0;7.488.021;1;Soci familiar Sardenya;1;0;5;xxxxxxx;xxxxxx
365836;0;13.607.118;15;Soci familiar Sardenya;1;0;0;xxxxxxx;xxxxxx
